name,elected,party,constituency,votes,history,club,dob,education,expired,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate,party_name,party_acronym
Krystyna Skowrońska,09-10-2011,Platforma Obywatelska,23 Rzeszów,25174,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"22-07-1954, Mielec",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Bożena Sławiak,09-10-2011,Platforma Obywatelska,8 Zielona Góra,6673,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"28-05-1948, Sulęcin",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Waldemar Sługocki,09-10-2011,Platforma Obywatelska,8 Zielona Góra,6465,brak,Klub Parlamentarny Platforma Obywatelska,"09-09-1971, Sulechów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Tomasz Smolarz,09-10-2011,Platforma Obywatelska,2 Wałbrzych,9893,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"06-08-1966, Bielawa",wyższe,2014-03-12,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Anna Elżbieta Sobecka,09-10-2011,Prawo i Sprawiedliwość,5 Toruń,6990,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-03-1951, Piotrków Kujawski",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Prawo i Sprawiedliwość,PiS
Zbigniew Sosnowski,09-10-2011,Polskie Stronnictwo Ludowe,5 Toruń,7354,"poseł IV kadencji, poseł V kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"10-12-1963, Rypin",wyższe,None,0:0:0:1:1:0:1,0:0:0:0:0:0:0:1,2,1,4,1,Polskie Stronnictwo Ludowe,PSL
Lech Sprawka,09-10-2011,Prawo i Sprawiedliwość,6 Lublin,23848,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"09-08-1955, Radawczyk Kolonia",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Lidia Staroń,09-10-2011,Platforma Obywatelska,35 Olsztyn,16091,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"07-06-1960, Morąg",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Franciszek Jerzy Stefaniuk,09-10-2011,Polskie Stronnictwo Ludowe,7 Chełm,10527,"poseł X kadencji, poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"04-06-1944, Drelów",średnie zawodowe,None,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Polskie Stronnictwo Ludowe,PSL
Marek Stolarski,09-10-2011,Ruch Palikota,29 Gliwice,12739,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"04-03-1963, Bytom",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Stefan Strzałkowski,09-10-2011,Prawo i Sprawiedliwość,40 Koszalin,4840,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"31-08-1957, Białogard",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Wiesław Suchowiejko,09-10-2011,Platforma Obywatelska,40 Koszalin,8724,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"15-05-1957, Szczecinek",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Marek Suski,09-10-2011,Prawo i Sprawiedliwość,17 Radom,17251,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"11-06-1958, Grójec",średnie policealne/pomaturalne,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Paweł Suski,09-10-2011,Platforma Obywatelska,40 Koszalin,7741,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"10-06-1964, Wałcz",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Miron Sycz,09-10-2011,Platforma Obywatelska,34 Elbląg,8884,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"03-01-1960, Ostre Bardo",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Paweł Szałamacha,09-10-2011,Prawo i Sprawiedliwość,38 Piła,12009,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"24-01-1969, Gorzów Wlkp.",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Wojciech Szarama,09-10-2011,Prawo i Sprawiedliwość,31 Katowice,27541,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"16-12-1955, Bytom",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Michał Szczerba,09-10-2011,Platforma Obywatelska,19 Warszawa,4137,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"14-12-1977, Warszawa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Krzysztof Szczerski,09-10-2011,Prawo i Sprawiedliwość,12 Kraków,4751,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"15-04-1973, Kraków",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Jolanta Szczypińska,09-10-2011,Prawo i Sprawiedliwość,26 Gdynia,19819,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"24-06-1957, Słupsk",średnie policealne/pomaturalne,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Adam Szejnfeld,09-10-2011,Platforma Obywatelska,38 Piła,45764,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"13-11-1958, Kalisz",wyższe,2014-05-27,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Platforma Obywatelska,PO
Piotr Szeliga,09-10-2011,Prawo i Sprawiedliwość,7 Chełm,8222,brak,Poseł niezrzeszony,"12-10-1977, Biłgoraj",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Andrzej Szlachta,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,13717,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-01-1947, Rzeszów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Jerzy Szmit,09-10-2011,Prawo i Sprawiedliwość,35 Olsztyn,17234,senator VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"08-09-1960, Olsztyn",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:1:0:1,2,1,2,2,Prawo i Sprawiedliwość,PiS
Grzegorz Sztolcman,09-10-2011,Platforma Obywatelska,28 Częstochowa,8926,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"23-05-1962, Częstochowa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Andrzej Sztorc,09-10-2011,Polskie Stronnictwo Ludowe,15 Tarnów,7087,poseł VI kadencji,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"09-08-1953, Wola Rzędzińska",średnie zawodowe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Polskie Stronnictwo Ludowe,PSL
Jakub Szulc,09-10-2011,Platforma Obywatelska,2 Wałbrzych,17230,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"21-12-1973, Kłodzko",wyższe,2014-08-21,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Krystyna Szumilas,09-10-2011,Platforma Obywatelska,29 Gliwice,42200,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"28-06-1956, Knurów",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Stanisław Szwed,09-10-2011,Prawo i Sprawiedliwość,27 Bielsko-Biała,32416,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"12-04-1955, Bielsko-Biała",wyższe,None,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1,Prawo i Sprawiedliwość,PiS
Beata Szydło,09-10-2011,Prawo i Sprawiedliwość,12 Kraków,43612,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"15-04-1963, Oświęcim",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Bożena Szydłowska,09-10-2011,Platforma Obywatelska,39 Poznań,14352,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"11-04-1951, Poznań",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Tomasz Szymański,09-10-2011,Platforma Obywatelska,5 Toruń,7510,brak,Klub Parlamentarny Platforma Obywatelska,"24-04-1978, Grudziądz",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Halina Szymiec-Raczyńska,09-10-2011,Ruch Palikota,2 Wałbrzych,12654,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"14-04-1949, Łazy",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Jan Szyszko,09-10-2011,Prawo i Sprawiedliwość,20 Warszawa,13636,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-04-1944, Stara Miłosna",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Iwona Śledzińska-Katarasińska,09-10-2011,Platforma Obywatelska,9 Łódź,16279,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"03-01-1941, Komorniki",wyższe,None,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Platforma Obywatelska,PO
Janusz Śniadek,09-10-2011,Prawo i Sprawiedliwość,26 Gdynia,26440,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"26-05-1955, Sopot",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Jacek Świat,09-10-2011,Prawo i Sprawiedliwość,3 Wrocław,14904,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"16-12-1955, Wrocław",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Marcin Święcicki,09-10-2011,Platforma Obywatelska,19 Warszawa,6246,"poseł X kadencji, poseł II kadencji",Klub Parlamentarny Platforma Obywatelska,"17-04-1947, Warszawa",wyższe,None,0:1:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Platforma Obywatelska,PO
Bogdan Święczkowski,09-10-2011,Prawo i Sprawiedliwość,2 Wałbrzych,17109,brak,,"22-05-1970,",,2011-10-27,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,,
Krzysztof Tchórzewski,09-10-2011,Prawo i Sprawiedliwość,18 Siedlce,22787,"poseł I kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-05-1950, Rzążew",wyższe,None,1:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,6,1,Prawo i Sprawiedliwość,PiS
Robert Telus,09-10-2011,Prawo i Sprawiedliwość,10 Piotrków Trybunalski,11305,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"18-04-1969, Opoczno",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Ryszard Terlecki,09-10-2011,Prawo i Sprawiedliwość,13 Kraków,14726,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"02-09-1949, Kraków",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Grzegorz Tobiszowski,09-10-2011,Prawo i Sprawiedliwość,31 Katowice,13268,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"01-11-1965, Ruda Śląska",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Genowefa Tokarska,09-10-2011,Polskie Stronnictwo Ludowe,7 Chełm,8906,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"05-08-1949, Biszcza",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Piotr Tomański,09-10-2011,Platforma Obywatelska,22 Krosno,9621,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"25-06-1969, Przemyśl",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jan Tomaszewski,09-10-2011,Prawo i Sprawiedliwość,9 Łódź,8114,brak,Klub Parlamentarny Platforma Obywatelska,"09-01-1948, Wrocław",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Tadeusz Tomaszewski,09-10-2011,Sojusz Lewicy Demokratycznej,37 Konin,11267,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"21-02-1959, Niechanowo",wyższe,None,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1,Sojusz Lewicy Demokratycznej,SLD
Jacek Tomczak,09-10-2011,Platforma Obywatelska,39 Poznań,14547,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"27-07-1973, Poznań",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Cezary Tomczyk,09-10-2011,Platforma Obywatelska,11 Sieradz,12748,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"25-08-1984, Gryfice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Tomasz Tomczykiewicz,09-10-2011,Platforma Obywatelska,31 Katowice,57323,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"02-03-1961, Pszczyna",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Aleksandra Trybuś-Cieślar,09-10-2011,Platforma Obywatelska,27 Bielsko-Biała,10061,brak,Klub Parlamentarny Platforma Obywatelska,"23-06-1967, Cieszyn",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Donald Tusk,09-10-2011,Platforma Obywatelska,19 Warszawa,374920,"poseł I kadencji, senator IV kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"22-04-1957, Gdańsk",wyższe,2014-10-31,1:0:0:1:1:1:1,0:0:0:1:0:0:0:1,5,1,6,2,Platforma Obywatelska,PO
Robert Tyszkiewicz,09-10-2011,Platforma Obywatelska,24 Białystok,10465,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"07-06-1963, Białystok",średnie ogólne,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Kazimierz Michał Ujazdowski,09-10-2011,Prawo i Sprawiedliwość,3 Wrocław,26221,"poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"28-07-1964, Kielce",wyższe,2014-05-27,1:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,7,1,Prawo i Sprawiedliwość,PiS
Piotr Van der Coghen,09-10-2011,Platforma Obywatelska,32 Sosnowiec,12171,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"23-02-1953, Krynica-Zdrój",średnie ogólne,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jan Vincent-Rostowski,09-10-2011,Platforma Obywatelska,19 Warszawa,10743,brak,Klub Parlamentarny Platforma Obywatelska,"30-04-1951, Londyn",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Piotr Walkowski,09-10-2011,Polskie Stronnictwo Ludowe,36 Kalisz,6331,poseł VI kadencji,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"16-11-1963, Boguszów-Gorce",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Polskie Stronnictwo Ludowe,PSL
Robert Wardzała,09-10-2011,Platforma Obywatelska,15 Tarnów,10437,brak,Klub Parlamentarny Platforma Obywatelska,"12-10-1975, Tarnów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Jan Warzecha,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,12588,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"21-04-1959, Jodłowa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Witold Waszczykowski,09-10-2011,Prawo i Sprawiedliwość,9 Łódź,36854,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"05-05-1957, Piotrków Trybunalski",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Jerzy Wenderlich,09-10-2011,Sojusz Lewicy Demokratycznej,5 Toruń,19078,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"22-04-1954, Toruń",wyższe,None,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1,Sojusz Lewicy Demokratycznej,SLD
Monika Wielichowska,09-10-2011,Platforma Obywatelska,2 Wałbrzych,10589,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-10-1973, Nowa Ruda",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Przemysław Wipler,09-10-2011,Prawo i Sprawiedliwość,19 Warszawa,4615,brak,Poseł niezrzeszony,"15-07-1978, Piekary Śląskie",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Jadwiga Wiśniewska,09-10-2011,Prawo i Sprawiedliwość,28 Częstochowa,34491,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"02-07-1963, Myszków",wyższe,2014-05-27,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Mariusz Witczak,09-10-2011,Platforma Obywatelska,36 Kalisz,31263,"senator VI kadencji, senator VII kadencji",Klub Parlamentarny Platforma Obywatelska,"14-04-1971, Koźminek",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:1:1:1,2,3,2,3,Platforma Obywatelska,PO
Elżbieta Witek,09-10-2011,Prawo i Sprawiedliwość,1 Legnica,9381,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"17-12-1957, Jawor",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Marcin Witko,09-10-2011,Prawo i Sprawiedliwość,10 Piotrków Trybunalski,6535,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"23-07-1971, Głowno",wyższe,2014-12-01,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Radosław Witkowski,09-10-2011,Platforma Obywatelska,17 Radom,7285,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-06-1974, Radom",wyższe,2014-12-15,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Zbigniew Włodkowski,09-10-2011,Polskie Stronnictwo Ludowe,35 Olsztyn,8131,poseł V kadencji,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"30-04-1961, Pisz",wyższe,2014-12-02,0:0:0:0:1:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Polskie Stronnictwo Ludowe,PSL
Norbert Wojnarowski,09-10-2011,Platforma Obywatelska,1 Legnica,5981,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"12-11-1976, Dobre Miasto",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Michał Wojtkiewicz,09-10-2011,Prawo i Sprawiedliwość,15 Tarnów,9403,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"24-06-1946, Tuchów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Marek Wojtkowski,09-10-2011,Platforma Obywatelska,5 Toruń,7352,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"26-02-1968, Lubraniec",wyższe,2014-12-05,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Ewa Wolak,09-10-2011,Platforma Obywatelska,3 Wrocław,11554,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"01-06-1960, Wrocław",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Bogusław Wontor,09-10-2011,Sojusz Lewicy Demokratycznej,8 Zielona Góra,8065,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"29-09-1967, Słubice",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Sojusz Lewicy Demokratycznej,SLD
Grzegorz Adam Woźniak,09-10-2011,Prawo i Sprawiedliwość,18 Siedlce,8550,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"18-12-1968, Garwolin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Tadeusz Woźniak,09-10-2011,Prawo i Sprawiedliwość,11 Sieradz,8996,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"15-01-1960, Kutno",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Zjednoczona Prawica,ZP
Marek Wójcik,09-10-2011,Platforma Obywatelska,31 Katowice,10753,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"24-03-1980, Katowice",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Marzena Dorota Wróbel,09-10-2011,Prawo i Sprawiedliwość,17 Radom,11738,"poseł V kadencji, poseł VI kadencji",Posłanka niezrzeszona,"15-10-1963, Radom",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Niezrzeszony,nz.
Maciej Wydrzyński,09-10-2011,Ruch Palikota,5 Toruń,15311,brak,Koło Poselskie Ruch Palikota,"15-12-1974, Bydgoszcz",średnie zawodowe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Stanisław Wziątek,09-10-2011,Sojusz Lewicy Demokratycznej,40 Koszalin,8838,"poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"13-11-1959, Połczyn Zdrój",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Sojusz Lewicy Demokratycznej,SLD
Zbyszek Zaborowski,09-10-2011,Sojusz Lewicy Demokratycznej,31 Katowice,9482,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"26-02-1958, Wilamowice",wyższe,None,0:1:1:1:1:0:1,0:0:0:0:0:0:0:1,2,1,6,1,Sojusz Lewicy Demokratycznej,SLD
Jadwiga Zakrzewska,09-10-2011,Platforma Obywatelska,20 Warszawa,11383,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"04-11-1950, Płońsk",wyższe,None,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1,Platforma Obywatelska,PO
Anna Zalewska,09-10-2011,Prawo i Sprawiedliwość,2 Wałbrzych,14999,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"06-07-1965, Świebodzice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Renata Zaremba,09-10-2011,Platforma Obywatelska,41 Szczecin,6355,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"11-06-1967, Resko",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Ryszard Zawadzki,09-10-2011,Platforma Obywatelska,30 Rybnik,10108,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"24-08-1951, Nysa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Sławomir Zawiślak,09-10-2011,Prawo i Sprawiedliwość,7 Chełm,24478,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"09-06-1963, Krasnobród",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Łukasz Zbonikowski,09-10-2011,Prawo i Sprawiedliwość,5 Toruń,17327,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"20-02-1978, Toruń",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
